 ,Area,Mean,Min,Max,Angle,Length,Length [nm]
1,0.142,41277.857,36397,51179,180,2.588,2588
2,0.142,37900.007,29339,42891.668,-144.324,2.588,2588
3,0.09,35329.187,29156.641,54629,-143.13,1.617,1617
4,0.128,30478.865,28112,33081.582,-125.538,2.319,2319
5,0.169,36379.666,29140.199,46926,-114.775,3.087,3087
6,0.102,40849.543,34158,57840,-90,1.833,1833
7,0.116,37162.795,30720.258,58844,-100.437,2.083,2083
8,0.139,30685.241,25505,32904.16,-129.806,2.526,2526
9,0.064,49356.792,45606.332,56341,-75.964,1.111,1111
10,0.093,29281.613,27006,34718,-99.162,1.693,1693
11,0.076,42722.083,36170,45857,-123.69,1.361,1361
12,0.102,31586.466,20312.18,41387.863,-107.354,1.807,1807
13,0.113,36788.493,31710,49367.223,18.435,2.046,2046
14,0.099,33893.109,29310.273,40178.496,-19.537,1.773,1773
15,0.116,37223.738,28887.076,60198.23,-85.601,2.109,2109
16,0.119,32706.344,27804.6,50780.852,-85.711,2.162,2162
17,0.139,31420.878,27504.021,38769.062,173.928,2.548,2548
18,0.096,32392.364,6515,38298,-90,1.725,1725
19,0.064,33259.265,26190,37463,-25.346,1.133,1133
20,0.049,37952.574,26252,43895.5,-97.125,0.869,869
21,0.061,26139.429,22868,32620,-90,1.078,1078
22,0.189,34528.427,29308.812,39932.938,-93.576,3.457,3457
23,0.116,32796.531,28207.154,41121.188,-55.491,2.093,2093
24,0.029,38464.663,31772,42973.668,-69.444,0.461,461
25,0.099,38635.344,31074.596,56429,-139.97,1.76,1760
26,0.078,43945.114,39274.152,52860,-81.254,1.418,1418
27,0.09,41291.888,35810,58967.348,-168.311,1.596,1596
28,0.108,39566.486,21306,55179,-90,1.941,1941
29,0.096,35193.963,24590.75,56876,-84.644,1.733,1733
30,0.108,32158.724,18484,37678,-96.34,1.953,1953
31,0.096,36831.788,12178,49582,-90,1.725,1725
32,0.055,44795.029,35424.391,51034.168,-86.82,0.972,972
33,0.064,32214.616,25127,41216,-125.218,1.122,1122
34,0.078,41988.573,32958,51718,-128.66,1.381,1381
35,0.148,36747.623,29858.578,57339.688,-133.363,2.669,2669
36,0.099,38761.15,33364.363,51784.184,-95.194,1.786,1786
37,0.099,43741.172,31719,56479,-93.468,1.782,1782
38,0.061,42836.57,13179,47049.633,-122.905,1.092,1092
39,0.128,34520.334,26257.373,46697.371,-97.943,2.341,2341
40,0.049,37361.364,32703.75,43724,-93.576,0.864,864
41,0.105,34940.869,23614,43842.57,-81.87,1.906,1906
42,0.137,35692.807,27154,46730,-40.601,2.485,2485
43,0.061,45619.014,34238,61800.199,-95.711,1.084,1084
44,0.038,48675.186,41291,53887,-131.634,0.649,649
45,0.07,44350.381,38484,50543.141,15.255,1.229,1229
46,0.084,43873.458,34372,48306.203,12.529,1.491,1491
47,0.09,24060.084,17148.467,27840.854,-66.801,1.642,1642
48,0.116,34108.287,24354.949,53155,-97.306,2.12,2120
49,0.078,32567.946,22005,44681.504,-144.462,1.391,1391
50,0.139,32706.703,27579.564,39645.645,-152.354,2.556,2556
51,0.087,31983.856,24207,37032.559,-116.565,1.567,1567
52,0.139,33963.335,30311.508,41604,-64.537,2.508,2508
53,0.108,36786.725,18484,45280.926,-56.31,1.944,1944
54,0.078,29715.037,25112,35035,180,1.402,1402
55,0.116,33298.096,21241,48776,-68.749,2.082,2082
56,0.044,38475.043,34948.07,44799,-85.914,0.757,757
57,0.084,35649.086,27642,43123.785,-85.914,1.513,1513
58,0.058,32971.45,27873,45010,-90,1.024,1024
59,0.052,28603.549,21286,31714.471,-76.759,0.941,941
60,0.041,34007.295,18851,38351.129,-128.66,0.69,690
61,0.125,32948.794,26792.143,65211,-91.364,2.265,2265
62,0.073,29617.826,27061.152,34751.957,-36.384,1.272,1272
63,0.029,41184.8,31772,44972,-90,0.485,485
64,0.288,29810.403,25210.238,36897.449,113.962,5.309,5309
65,0.099,36737.051,25631,42714.629,-38.928,1.802,1802
66,0.078,36135.97,32038,46000,-65.376,1.423,1423
67,0.046,38413.579,13524,46689.668,-86.186,0.81,810
68,0.16,32153.122,10562,42372.836,-46.507,2.898,2898
69,0.105,46321.938,26606.16,54809,-36.87,1.887,1887
70,0.105,41514.166,26732.143,58213.688,-91.637,1.888,1888
71,0.078,35443.035,23559,42463.285,-139.635,1.415,1415
72,0.166,33344.481,26146.994,55996.125,-121.139,3.023,3023
73,0.142,31062.092,27052.312,35935,-49.268,2.561,2561
74,0.108,44409.172,40352.582,50106.25,-1.591,1.941,1941
75,0.093,32441.689,26144,35354,-75.069,1.674,1674
76,0.061,27295.976,18462.189,31269.5,-72.474,1.074,1074
77,0.142,26512.264,19084.666,53025.918,-48.366,2.597,2597
78,0.099,34372.388,12361,44010.035,-52.431,1.768,1768
79,0.131,35806.923,28802,44188.648,-118.301,2.388,2388
80,0.093,35128.459,32959.359,37369.02,-26.565,1.688,1688
81,0.055,29140.776,21113,33303.406,-45,0.991,991
82,0.064,32892.964,22346,37885.523,-52.595,1.154,1154
83,0.096,32559.242,23504,36879,-97.125,1.738,1738
84,0.148,35869.156,30691.295,55456,-147.265,2.692,2692
85,0.142,32087.402,14054,39607.922,-159.305,2.593,2593
86,0.122,34808.499,26368.83,49455.562,-95.572,2.221,2221
87,0.148,32945.775,28895.225,41265,-25.017,2.677,2677
88,0.137,31842.197,23229,48240.871,-82.569,2.501,2501
89,0.073,25870.2,15158,45465,-90,1.294,1294
90,0.087,22379.36,12560,34004.875,-30.964,1.572,1572
91,0.078,32241.24,24056.252,39708,-114.624,1.423,1423
92,0.041,34037.194,20582,36961.555,-116.565,0.723,723
93,0.076,40642.79,29905,51798.441,-4.574,1.352,1352
94,0.177,38021.261,28306.166,47433,-138.366,3.246,3246
95,0.09,31414.109,27936,34000.961,-101.689,1.596,1596
96,0.084,37889.711,16160,42391.539,-22.932,1.522,1522
97,0.058,48374.366,42524.746,58409,-34.509,1.047,1047
98,0.096,39368.364,33924,54955,-90,1.725,1725
99,0.076,26540.172,24521.24,29061.84,-4.574,1.352,1352
100,0.285,27878.688,15558,35980.527,-26.828,5.256,5256
101,0.145,28868.984,19654.611,41983.652,94.667,2.65,2650
102,0.227,32179.893,22320.857,37706.402,87.769,4.154,4154
