Etiqueta,√Ångulo,Ancho,,Cr. TamaÒo D [nm],D nm (promedio)
Pico 1,24.25635922,0.643013228,,12.6368371,14.1958881
Pico 2,30.87402286,0.91782662,,8.979491521,
Pico 3,32.5021782,0.532916735,,15.52759864,
Pico 4,33.2899953,0.381709248,,21.72263272,
Pico 5,34.31415753,0.607139529,,13.69417931,
Pico 6,35.75848888,0.456436135,,18.2882586,
Pico 7,41.01060288,0.752989511,,11.2640225,
Pico 8,49.59780927,0.605639987,,14.44964753,
Pico 9,54.19340902,0.55768452,,16.00146801,
Pico 10,62.57053085,0.778975447,,11.9336209,
Pico 11,64.11990448,0.804139855,,11.65701231,
,,,,,
Etiqueta,Area por pico,SUMA de areas por picos,Area de todos los picos,Cristalinidad,
Pico 1,968.31,8170.42,57513.49,14.20609321,
Pico 2,873.74,,,,
Pico 3,773.11,,,,
Pico 4,753.35,,,,
Pico 5,740.69,,,,
Pico 6,749.19,,,,
Pico 7,674.03,,,,
Pico 8,651.3,,,,
Pico 9,660.81,,,,
Pico 10,663,,,,
Pico 11,662.89,,,,
,,,,,
√Ångulo (2Theta),Theta,d - spaicing,,,
24.25635922,12.12817961,3.66635917,,,
30.87402286,15.43701143,2.893918991,,,
32.5021782,16.2510891,2.752572928,,,
33.2899953,16.64499765,2.689210889,,,
34.31415753,17.15707877,2.611254139,,,
35.75848888,17.87924444,2.509023431,,,
41.01060288,20.50530144,2.199009675,,,
49.59780927,24.79890464,1.836519365,,,
54.19340902,27.09670451,1.691132047,,,
62.57053085,31.28526543,1.483344801,,,
64.11990448,32.05995224,1.451188391,,,
,,,,,
,,,,,
2THETA (RAD),TETA(RAD),ANCHO (RAD),4 SEN (TETA),BETA COS (TETA),
0.423353333,0.211676666,0.011222698,0.840397751,0.010972208,
0.538853352,0.269426676,0.016019096,1.06471536,0.015441186,
0.567270024,0.283635012,0.009301152,1.119389052,0.00892952,
0.581020026,0.290510013,0.006662083,1.145763619,0.006382928,
0.598895029,0.299447514,0.010596584,1.179969408,0.010125032,
0.624103366,0.312051683,0.007966313,1.228047519,0.007581586,
0.715770048,0.357885024,0.013142146,1.401176191,0.012309457,
0.865645074,0.432822537,0.010570412,1.677738911,0.009595667,
0.94585342,0.47292671,0.009733431,1.821974816,0.00866508,
1.092061778,0.546030889,0.013595686,2.077197425,0.01161877,
1.119103449,0.559551725,0.014034888,2.123225364,0.011894471,
