Código;Instrumento;Nombre Municipio;Código Dane Municipio;Nombre Institución;Código Dane Institución;Nombre Sede;Código Dane Sede;Dirección;Auditor;Código auditor;N° Visita;Fecha Planeada Inicio;Promedio Total;1:00 p. m.;2:00 p. m.;3:00 p. m.;4:00 p. m.;5:00 p. m.;6:00 p. m.;7:00 p. m.;8:00 p. m.;9:00 p. m.;10:00 p. m.;11:00 p. m.;12:00 p. m.;13 P;14 P;15 P;16 P;17 P;18 P;19 P;Promedio Categoría General
BO-A-240607-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;2;7/06/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240607-VH-SZK824;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;2;7/06/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240717-VH-GFQ005;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;5;17/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240724-VH-GFQ214;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;6;24/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240724-VH-LZO645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;6;24/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240724-VH-SZR823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;6;24/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240730-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;7;30/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240730-VH-GUR382;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;7;30/07/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240730-VH-SRZ050;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;7;30/07/2024;0,87;NO;NO;1;1;1;1;1;1;1;1;1;1;0;1;1;NO;NO;0;1;0,87
BO-A-240808-VH-LZO645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;8;8/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;1;1;1;1;1
BO-A-240808-VH-SXR823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;8;8/08/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-240816-VH-GET806;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;9;16/08/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240816-VH-LZO645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;9;16/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240823-VH-GUR382;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;10;23/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;1;1;1;1;1
BO-A-240823-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;10;23/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;1;1;1;1;1
BO-A-240830-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;11;30/08/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240830-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;11;30/08/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240830-VH-SRZ823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;11;30/08/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240903-VH-GET806;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;12;3/09/2024;0,89;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;NO;1;1;1;0,89
BO-A-240903-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;12;3/09/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240903-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;12;3/09/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240911-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;13;11/09/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240911-VH-JTZ202;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;13;11/09/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240911-VH-WGX105;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;13;11/09/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240917-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;14;17/09/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240917-VH-LZR714;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;14;17/09/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240917-VH-SZR823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;14;17/09/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240927-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;15;27/09/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-240927-VH-SMW065;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;15;27/09/2024;0,94;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,94
BO-A-240927-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;15;27/09/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241018-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;17;18/10/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241018-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;17;18/10/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241018-VH-TZR050;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;17;18/10/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241025-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;josé alejandro zúñiga claro;590;18;25/10/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241025-VH-NGY606;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;josé alejandro zúñiga claro;590;18;25/10/2024;0,94;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;0,94
BO-A-241025-VH-SRZ823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;josé alejandro zúñiga claro;590;18;25/10/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241029-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;19;29/10/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241029-VH-LZR714;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;19;29/10/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241029-VH-WEO736;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;19;29/10/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241105-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;20;5/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241105-VH-WEO736;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;20;5/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241116-VH-SRZ823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;21;16/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-241116-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;21;16/11/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;1;1;1;1;1
BO-A-241116-VH-SZM196;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;21;16/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-241122-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;22;22/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241122-VH-LZR629;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;22;22/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241122-VH-NGY606;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;22;22/11/2024;1;1;1;1;1;1;1;1;1;NO;1;1;1;1;1;1;NO;1;1;1;1
BO-A-241126-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;23;26/11/2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250131-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;25;31/01/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250131-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;25;31/01/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-250131-VH-WEO736;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;25;31/01/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250207-VH-EHL661;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;26;7/02/2025;0,95;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0,95
BO-A-250207-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;26;7/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250207-VH-WGX105;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;26;7/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250213-VH-GFQ377;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;27;13/02/2025;0,94;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,94
BO-A-250213-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;27;13/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-250213-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;27;13/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250221-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;28;21/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250221-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;28;21/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
BO-A-250221-VH-SZK829;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;28;21/02/2025;0,94;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,94
BO-A-250227-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250227-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250227-VH-SRZ823;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;0,89;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;NO;1;1;1;0,89
BO-A-250227-VH-SXJ904;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;29;27/02/2025;0,95;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,95
BO-A-250314-VH-ETK367;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;31;14/03/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250314-VH-LXS645;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;31;14/03/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
BO-A-250314-VH-WEO736;Vehículo RI ;BARRANQUILLA;08001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jairo echeverri silva;584;31;14/03/2025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NO;1;1;1;1
