Código,Instrumento,Municipio,Institución,Auditor,Dirección,N° Visita,Fecha Planeada Inicio,Promedio Total,1 P,2 P,3 P,4 P,5 P,6 P,7 P,8 P,9 P,10 P,11 P,12 P,13 P,14 P,15 P,16 P,17 P,18 P,19 P,20 P,21 P,22 P,23 P,24 P,25 P,26 P,27 P,28 P,29 P,30 P,31 P,32 P,33 P,34 P,35 P,36 P,37 P,38 P,39 P,40 P,41 P,42 P,43 P,44 P,45 P,46 P,47 P,48 P,49 P,50 P,51 P,52 P,53 P,54 P,55 P,56 P,57 P,58 P,59 P,60 P,61 P,62 P,Promedio Categoría A,Promedio Categoría B,Promedio Categoría C,Promedio Categoría D Limpieza y Desinfección,Promedio Categoría E,Promedio Categoría F Abastecimiento Agua,Promedio Categoría G,Promedio Categoría H,Promedio Categoría I,Promedio Categoría J
BO-A-0413,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,1,13/04/23,0.75,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,0,2,3,2,1,0,0,3,3,3,0,0,0,0,2,2,0,0,3,0,3,0,2,0,3,3,0,3,3,NO,0,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,0.94,0.67,0.5,1,0,0.59,1,1
BO-A-0415,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,2,15/04/23,0.85,0,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,0,0,2,2,0,0,3,3,3,3,2,3,3,3,0,3,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,0,2,1,0.63,1,1,0.67,1,1,1,0.78,1,0.78
BO-A-0421,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,3,21/04/23,0.81,0,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,0,0,2,2,0,0,3,3,3,3,2,3,3,3,0,0,3,NO,3,3,NO,0,2,3,3,2,3,3,2,2,2,2,0,2,1,0.63,1,1,0.67,1,1,1,0.69,1,0.78
BO-A-0429,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,4,29/04/23,0.83,0,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,0,0,2,2,0,0,3,3,3,3,2,3,3,3,0,0,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,0,2,1,0.63,1,1,0.67,1,1,1,0.73,1,0.78
BO-A-0509,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,5,09/05/23,0.87,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,0,0,2,2,0,0,3,3,3,3,2,3,3,3,0,3,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,0,2,1,1,1,1,0.67,1,1,1,0.78,1,0.78
BO-A-0520,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,6,20/05/23,0.88,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,3,0,2,2,0,0,3,3,3,3,2,3,3,3,0,3,3,NO,3,3,NO,3,0,3,3,2,3,3,2,2,2,2,0,2,1,1,1,1,0.67,1,1,1,0.8,1,0.78
BO-A-0525,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,7,25/05/23,0.92,NO,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,0,3,3,NO,3,3,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,0.67,1,1,1,0.87,1,1
BO-A-0530,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,8,30/05/23,0.86,0,0,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,0,3,3,NO,3,3,NO,3,2,3,3,2,3,0,2,2,2,2,2,2,1,0.25,1,1,0.67,1,1,1,0.88,0.75,1
BO-A-0610,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,9,10/06/23,0.91,0,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,0,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,0,3,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,0.63,1,1,0.67,1,1,1,0.88,1,1
BO-A-0621,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,10,21/06/23,0.9,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,NO,2,1,0,0,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,0,3,NO,NO,3,3,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,0.5,0.5,1,1,0.86,1,1
BO-A-0727,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,11,27/07/23,0.96,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,NO,2,1,3,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.92,1,1
BO-A-0804,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,12,04/08/23,0.89,0,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,3,0,3,NO,3,3,NO,3,0,0,3,2,3,3,2,2,2,2,2,2,1,0.63,1,1,1,1,1,1,0.8,1,1
BO-A-0808,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,13,08/08/23,0.94,NO,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,NO,3,2,0,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.88,1,1
BO-A-0824,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,14,24/08/23,0.96,NO,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.92,1,1
BO-A-0908,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,15,08/09/23,0.97,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,0,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.92,1,1
BO-A-0913,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,ANA CHELLIS BONFANTE ACUÑA,PARQUE INDUSTRIAL CALAVERIA KM.7,16,13/09/23,0.91,NO,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,NO,2,1,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,3,0,3,NO,NO,0,NO,NO,NO,2,3,3,2,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.89,0.5,1
BO-A-1018,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,17,18/10/23,0.96,NO,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,NO,2,1,3,3,3,3,3,2,2,3,0,2,2,2,3,3,3,3,3,2,3,3,3,0,3,NO,NO,3,3,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.9,1,1
BO-A-1030,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,18,30/10/23,0.94,3,0,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,2,3,3,3,3,3,2,3,3,3,3,0,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,0.63,1,1,1,1,1,1,0.91,1,1
BO-A-1110,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,19,10/11/23,0.96,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,NO,0,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.91,1,1
BO-A-1117,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,20,17/11/23,0.96,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,0,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,NO,0,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.91,1,1
BO-A-1124,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,21,24/11/23,1,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
BO-A-240205,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,1,02/02/24,1,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,NO,2,1,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,NO,3,3,3,NO,3,3,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
BO-A-240220,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,2,20/02/24,0.95,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,3,0,2,0,3,3,3,3,3,2,3,NO,NO,0,3,3,NO,3,3,NO,3,2,3,3,2,NO,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.88,1,1
BO-A-240301,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,3,01/03/24,0.99,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,3,0,2,2,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,2,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0.97,1,1
BO-A-240307,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,4,07/03/24,0.98,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,NO,3,3,2,NO,NO,3,3,2,3,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0.75,1
BO-A-240313,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,5,13/03/24,1,3,3,2,3,3,2,2,2,1,2,2,2,2,3,3,1,2,3,2,1,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,NO,3,3,NO,NO,3,3,NO,3,2,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
BO-A-240320,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,MADORI PAOLA OBANDO,PARQUE INDUSTRIAL CALAVERIA KM.7,6,20/03/24,0.9,NO,NO,NO,3,3,2,2,2,1,2,2,2,2,3,3,1,2,NO,2,1,3,3,3,3,3,2,2,0,3,2,2,2,0,3,3,3,3,2,3,3,3,0,3,NO,NO,0,NO,NO,NO,2,3,3,2,3,3,2,2,2,2,2,2,0,,1,1,1,1,1,1,0.78,1,0.89
BO-A-240401,Bodega RI,BARRANQUILLA,PARQUE INDUSTRIAL CALAVERIA KM.7,Ivonne Tatiana Pinilla,PARQUE INDUSTRIAL CALAVERIA KM.7,7,01/04/24,0.92,3,3,2,3,3,2,2,2,1,2,2,2,2,0,3,1,2,3,2,1,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,3,2,0,3,3,3,0,3,NO,0,3,NO,3,NO,3,3,2,3,3,2,2,2,2,2,2,1,1,1,0.82,1,1,1,1,0.85,1,1
