Código;Instrumento;Nombre Municipio;Código Dane Municipio;Nombre Institución;Código Dane Institución;Nombre Sede;Código Dane Sede;Dirección;Auditor;Código auditor;N° Visita;Fecha Planeada Inicio;Promedio Total;1P;2P;3P;4P;5P;6P;7P;8P;9P;10P;11P;12P;13 P;14 P;15 P;16 P;17 P;18 P;19 P;20 P;21 P;22 P;23 P;24 P;25 P;26 P;27 P;28 P;29 P;30 P;31 P;32 P;33 P;34 P;35 P;36 P;37 P;38 P;39 P;40 P;41 P;42 P;43 P;44 P;45 P;46 P;47 P;48 P;49 P;50 P;51 P;52 P;53 P;54 P;55 P;56 P;57 P;58 P;59 P;60 P;61 P;62 P;Promedio Categoría A;Promedio Categoría B;Promedio Categoría C;Promedio Categoría D Limpieza y Desinfección;Promedio Categoría E;Promedio Categoría F Abastecimiento Agua;Promedio Categoría G;Promedio Categoría H;Promedio Categoría I;Promedio Categoría J
BO-A-240527;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;ivonne tatiana pinilla porras;342;1;27/05/2024;0,81;3;3;0;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;0;3;3;3;2;2;3;3;2;2;2;3;3;3;3;0;2;0;3;3;0;3;0;NO;0;3;NO;NO;NO;0;3;2;3;0;2;2;2;2;2;2;1;0,75;1;1;1;0,5;1;1;0,69;0,75;1
BO-A-240607;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;2;7/06/2024;0,86;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;0;0;2;2;0;0;3;3;3;3;2;0;3;3;0;3;3;NO;3;3;NO;3;2;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,69;1;1
BO-A-240612;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;3;12/06/2024;0,98;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;0;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;NO;NO;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;0,5;1;1;1;1;1
BO-A-240619;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;4;19/06/2024;1;NO;NO;NO;NO;NO;NO;NO;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;NO;3;3;2;NO;NO;NO;3;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2;3;3;2;2;2;2;2;2;1;;1;1;1;1;1;1;1;1;1
BO-A-240717;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;5;17/07/2024;0,9;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;0;2;2;0;3;3;3;3;3;2;3;3;3;0;3;3;NO;0;3;NO;3;2;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,78;1;1
BO-A-240724;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;6;24/07/2024;0,89;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;0;2;2;0;3;3;3;3;3;2;3;3;3;0;3;3;NO;0;3;NO;3;0;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,75;1;1
BO-A-240730;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;7;30/07/2024;0,9;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;0;2;2;0;0;3;3;3;3;2;3;3;3;0;3;3;NO;3;3;NO;3;2;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,78;1;1
BO-A-240808;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;8;8/08/2024;0,94;3;3;0;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;0;3;3;NO;3;3;NO;3;NO;0;3;2;3;3;2;2;2;2;2;2;1;0,75;1;1;1;1;1;1;0,9;1;1
BO-A-240816;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;jose miguel molina;333;9;16/08/2024;0,99;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;0;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;2;3;2;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,97;1;1
BO-A-240823;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;10;23/08/2024;0,96;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;0;NO;3;3;NO;3;2;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,91;1;1
BO-A-240830;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;11;30/08/2024;0,96;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;0;NO;3;3;NO;3;2;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,91;1;1
BO-A-240903;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;12;3/09/2024;0,94;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;0;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;3;NO;0;3;2;3;0;2;2;2;2;2;2;1;1;1;1;1;0,5;1;1;0,95;0,75;1
BO-A-240911;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;13;11/09/2024;1;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;3;2;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
BO-A-240917;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;14;17/09/2024;1;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;NO;3;3;3;3;NO;3;3;NO;3;NO;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
BO-A-240927;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;15;27/09/2024;0,97;3;3;0;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;3;NO;0;3;2;3;3;2;2;2;2;2;2;1;0,75;1;1;1;1;1;1;0,95;1;1
BO-A-241011;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;16;11/10/2024;0,9;3;3;0;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;0;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;0;2;3;3;2;0;0;2;2;2;2;2;2;1;0,75;1;1;1;1;1;1;0,91;0,5;1
BO-A-241018;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;17;18/10/2024;0,94;3;3;0;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;0;3;3;3;3;2;3;3;3;3;3;0;NO;3;3;NO;3;2;3;3;2;3;3;2;2;2;2;2;2;1;0,75;1;1;1;1;1;1;0,91;1;1
BO-A-241025;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;18;25/10/2024;0,94;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;0;0;3;3;3;3;3;3;NO;3;3;NO;3;2;3;3;2;0;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,92;0,75;1
BO-A-241029;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;19;29/10/2024;0,94;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;0;2;2;0;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;3;NO;3;3;2;3;0;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,92;0,75;1
BO-A-241105;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;valentina monsalve mejía;332;20;5/11/2024;0,94;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;NO;2;1;3;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;0;NO;3;3;2;0;0;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,95;0,5;1
BO-A-241116;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;josé alejandro zúñiga claro;590;21;16/11/2024;0,96;3;3;2;3;3;NO;NO;2;1;2;2;2;2;3;3;1;2;3;2;1;3;3;3;3;3;0;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;NO;3;NO;3;3;2;0;3;2;2;2;2;2;2;1;1;1;1;1;1;1;0,5;1;0,75;1
BO-A-241122;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;josé alejandro zúñiga claro;590;22;22/11/2024;0,95;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;3;2;1;3;0;3;3;3;2;2;3;0;0;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;2;3;2;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;0,5;1;1;0,92;1;1
BO-A-241126;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;josé alejandro zúñiga claro;590;23;26/11/2024;0,96;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;3;2;1;3;3;3;3;3;2;2;3;0;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;NO;3;3;2;0;2;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,91;1;1
BO-A-250124;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;24;24/01/2025;0,92;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;3;2;1;3;3;3;3;3;2;2;3;0;2;2;0;3;3;3;3;3;2;3;3;3;0;3;NO;NO;0;3;NO;3;2;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,82;1;1
BO-A-250131;Bodega RI;BARRANQUILLA;8001;;;PARQUE INDUSTRIAL CLAVERIA KM.7;;PARQUE INDUSTRIAL CLAVERIA KM.7;madori obando;335;25;31/01/2025;0,91;3;3;2;3;3;2;2;2;1;2;2;2;2;3;3;1;2;3;2;1;3;3;3;3;3;2;2;3;0;2;0;0;0;3;3;3;3;2;3;3;3;0;3;3;NO;3;3;NO;3;2;3;3;2;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;0,8;1;1
